McD_Pc,McD_Count,IRSAD_Pc_Decile,IRSAD_Pc_Prcntl,Pop_Pc,Peo_per_McD,1000_per_McD,McD_LGA
2170,11,4,34,105451,9586,9.6,Liverpool
2000,8,9,85,27411,3426,3.4,Sydney
4870,6,5,42,71009,11835,11.8,Tablelands
2250,6,6,58,67194,11199,11.2,Wyong
2148,6,5,45,63071,10512,10.5,Holroyd
4350,5,5,42,106745,21349,21.3,Toowoomba
3977,5,6,52,93326,18665,18.7,Greater Dandenong
4305,5,2,20,62549,12510,12.5,Ipswich
3199,5,6,51,54298,10860,10.9,Mornington Peninsula
2340,5,4,33,49072,9814,9.8,Upper Hunter Shire
2750,5,5,49,44806,8961,9.0,Penrith
4000,5,9,83,16552,3310,3.3,Brisbane
2560,4,3,30,76521,19130,19.1,Wollongong
2770,4,1,4,61296,15324,15.3,Penrith
4211,4,6,57,60801,15200,15.2,Tweed
2259,4,4,36,59513,14878,14.9,Wyong
2650,4,5,47,56974,14244,14.2,Wagga Wagga
3216,4,7,69,56284,14071,14.1,Surf Coast
4300,4,6,54,55669,13917,13.9,Logan
2444,4,5,43,46284,11571,11.6,Port Macquarie-Hastings
6107,4,6,55,43605,10901,10.9,South Perth
3550,4,4,35,40339,10085,10.1,Greater Bendigo
3000,4,8,78,37975,9494,9.5,Melbourne
2160,4,3,25,35973,8993,9.0,Parramatta
4218,4,8,74,31864,7966,8.0,Gold Coast
2233,4,9,89,29498,7375,7.4,Wollongong
2541,4,1,10,25641,6410,6.4,Shoalhaven
2020,4,9,87,14772,3693,3.7,Sydney
4740,3,5,42,80089,26696,26.7,Mackay
6210,3,4,33,68316,22772,22.8,Rockingham
6065,3,8,80,61998,20666,20.7,Wanneroo
3350,3,6,55,59145,19715,19.7,Moorabool
2155,3,10,98,55452,18484,18.5,The Hills Shire
3021,3,1,5,54191,18064,18.1,Melton
4209,3,7,61,50073,16691,16.7,Gold Coast
3020,3,2,11,44783,14928,14.9,Wyndham
2450,3,4,38,43894,14631,14.6,Coffs Harbour
4503,3,5,47,43651,14550,14.6,Moreton Bay
6230,3,4,38,43134,14378,14.4,Harvey
2747,3,5,48,42421,14140,14.1,Penrith
4500,3,7,66,42401,14134,14.1,Moreton Bay
5108,3,1,4,40609,13536,13.5,Salisbury
2830,3,4,38,40291,13430,13.4,Wellington
2567,3,9,81,38500,12833,12.8,Wollondilly
2035,3,9,88,34490,11497,11.5,Randwick
2760,3,2,19,33834,11278,11.3,Penrith
4226,3,8,74,32243,10748,10.7,Gold Coast
2150,3,8,75,31500,10500,10.5,The Hills Shire
4220,3,7,70,31233,10411,10.4,Gold Coast
2580,3,4,32,29224,9741,9.7,Yass Valley
4212,3,9,81,28053,9351,9.4,Gold Coast
2100,3,10,94,20911,6970,7.0,Warringah
2164,3,2,18,19624,6541,6.5,Holroyd
4558,3,5,41,19163,6388,6.4,Sunshine Coast
2113,3,10,93,18371,6124,6.1,Willoughby
5092,3,5,49,17569,5856,5.9,Tea Tree Gully
2304,3,4,33,15176,5059,5.1,Newcastle
5000,3,8,76,15115,5038,5.0,West Torrens
6104,3,6,56,14321,4774,4.8,Swan
6000,3,9,88,11425,3808,3.8,Vincent
4021,3,2,15,9790,3263,3.3,Moreton Bay
5168,3,2,15,5499,1833,1.8,Onkaparinga
2609,3,2,11,887,296,0.3,Queanbeyan
3029,2,6,55,93950,46975,47.0,Wyndham
4670,2,2,15,79606,39803,39.8,Gladstone
3023,2,6,51,63972,31986,32.0,Melton
